State Name,Year,All-Reported Spending per Child (2023 Dollars),State Spending per Child (2023 Dollars),Total All-Reported Spending (2023 Dollars),Total State Pre-K Spending (2023 Dollars),Number of 3-year-olds Enrolled in State Pre-K,Number of 4-year-olds Enrolled in State Pre-K,Percentage of 3-year-olds Enrolled in State Pre-K,Percentage of 4-year-olds Enrolled in State Pre-K,Total State Pre-K Enrollment,avg_benchmarks_met,sum_benchmarks,total_benchmarks,percent_benchmarks
Alabama,2002-01-01,,7349.15,,5555956.35,0.0,756.0,0.0,0.01,756.0,0.8,8,10,0.8
Alabama,2003-01-01,14531.45,7065.88,18309629.11,8903014.22,0.0,1260.0,0.0,0.02,1260.0,0.8,8,10,0.8
Alabama,2004-01-01,10396.76,6630.24,9731366.43,6205904.52,0.0,936.0,0.0,0.02,936.0,0.8,8,10,0.8
Alabama,2005-01-01,10043.18,6012.27,9761973.33,5843927.45,0.0,972.0,0.0,0.02,972.0,0.9,9,10,0.9
Alabama,2006-01-01,10446.62,7095.03,10718232.26,7279497.68,0.0,1026.0,0.0,0.02,1026.0,1.0,10,10,1.0
Alabama,2007-01-01,11663.55,8150.2,12386694.52,8655508.94,0.0,1062.0,0.0,0.02,1062.0,1.0,10,10,1.0
Alabama,2008-01-01,7116.37,6736.34,16118572.35,15257808.84,0.0,2265.0,0.0,0.04,2265.0,1.0,10,10,1.0
Alabama,2009-01-01,7833.87,7592.87,26509817.28,25694268.47,0.0,3384.0,0.0,0.06,3384.0,1.0,10,10,1.0
Alabama,2010-01-01,6720.09,6708.12,26006732.94,25960430.15,0.0,3870.0,0.0,0.06,3870.0,1.0,10,10,1.0
Alabama,2011-01-01,8385.15,6507.89,32450537.69,25185535.68,0.0,3870.0,0.0,0.06,3870.0,1.0,10,10,1.0
Alabama,2012-01-01,10308.27,6818.32,40264116.81,26632342.51,0.0,3906.0,0.0,0.06,3906.0,1.0,10,10,1.0
Alabama,2013-01-01,10222.82,6630.55,39838329.1,25839255.87,0.0,3897.0,0.0,0.06,3897.0,1.0,10,10,1.0
Alabama,2014-01-01,8809.31,5632.74,48495246.13,31008220.41,0.0,5505.0,0.0,0.09,5505.0,1.0,10,10,1.0
Alabama,2015-01-01,8756.68,6897.77,63424642.53,49960559.11,0.0,7243.0,0.0,0.12,7243.0,1.0,10,10,1.0
Alabama,2016-01-01,9441.65,5584.01,106652869.36,63076989.06,0.0,11296.0,0.0,0.19,11296.0,1.0,10,10,1.0
Alabama,2017-01-01,9097.44,5934.89,127655295.99,83278443.29,0.0,14032.0,0.0,0.24,14032.0,1.0,10,10,1.0
Alabama,2018-01-01,9677.11,6034.96,155327338.13,96867078.11,0.0,16051.0,0.0,0.28,16051.0,1.0,10,10,1.0
Alabama,2019-01-01,8522.17,6720.63,146751756.64,115729192.31,0.0,17220.0,0.0,0.29,17220.0,1.0,10,10,1.0
Alabama,2020-01-01,10764.43,7156.93,220014205.93,146280452.49,0.0,20439.0,0.0,0.34,20439.0,1.0,10,10,1.0
Alabama,2021-01-01,11187.95,7749.37,211519331.91,146509520.91,0.0,18906.0,0.0,0.31,18906.0,1.0,10,10,1.0
Alabama,2022-01-01,9455.51,7418.6,207444400.18,162756774.91,0.0,21939.0,0.0,0.36,21939.0,1.0,10,10,1.0
Alabama,2023-01-01,10881.01,7428.82,254485066.0,173745222.0,0.0,23388.0,0.0,0.39,23388.0,1.0,10,10,1.0
Alaska,2002-01-01,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,0.0
Alaska,2003-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,0.0
Alaska,2004-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,0.0
Alaska,2005-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,0.0
Alaska,2006-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,0.0
Alaska,2007-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,0.0
Alaska,2008-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,0.0
Alaska,2009-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,0.0
Alaska,2010-01-01,12570.15,12547.77,2514030.92,2509554.9,0.0,200.0,0.0,0.02,200.0,1.0,10,10,1.0
Alaska,2011-01-01,10119.17,9817.13,2509554.9,2434647.04,0.0,248.0,0.0,0.02,248.0,1.0,10,10,1.0
Alaska,2012-01-01,11538.61,11241.89,2434647.04,2372038.23,0.0,211.0,0.0,0.02,211.0,1.0,10,10,1.0
Alaska,2013-01-01,10110.99,9809.84,3488291.52,3384396.21,0.0,345.0,0.0,0.03,345.0,1.0,10,10,1.0
Alaska,2014-01-01,8308.63,8062.65,2417812.65,2346229.95,0.0,291.0,0.0,0.03,291.0,1.0,10,10,1.0
Alaska,2015-01-01,8236.23,8109.75,2627357.17,2587011.72,0.0,319.0,0.0,0.03,319.0,1.0,10,10,1.0
Alaska,2016-01-01,8109.75,8160.34,2587011.72,2603149.85,0.0,319.0,0.0,0.03,319.0,0.5,5,10,0.5
Alaska,2017-01-01,7271.37,7217.31,2603149.85,2583797.55,0.0,358.0,0.0,0.04,358.0,0.5,5,10,0.5
Alaska,2018-01-01,13124.05,12703.59,4134076.07,4001632.41,0.0,315.0,0.0,0.03,315.0,0.3,3,10,0.3
Alaska,2019-01-01,6904.66,6658.84,9003672.93,8683121.97,260.54,1043.46,0.02,0.1,1304.0,0.0,0,10,0.0
Alaska,2020-01-01,6285.77,6208.8,8825222.47,8717159.19,280.52,1123.48,0.03,0.11,1404.0,0.2,2,10,0.2
Alaska,2021-01-01,5024.92,5024.92,3195848.69,3195848.69,116.0,520.0,0.01,0.05,636.0,0.2,2,10,0.2
